Fecha;Precio
01.12.2023;4.769,83
01.11.2023;4.567,78
01.10.2023;4.193,80
01.09.2023;4.288,05
01.08.2023;4.507,66
01.07.2023;4.588,96
01.06.2023;4.450,38
01.05.2023;4.179,83
01.04.2023;4.169,48
01.03.2023;4.109,31
01.02.2023;3.970,15
01.01.2023;4.076,60
01.12.2022;3.839,50
01.11.2022;4.080,11
01.10.2022;3.871,98
01.09.2022;3.585,62
01.08.2022;3.955,00
01.07.2022;4.130,29
01.06.2022;3.785,38
01.05.2022;4.132,15
01.04.2022;4.131,93
01.03.2022;4.530,41
01.02.2022;4.373,79
01.01.2022;4.515,55
01.12.2021;4.766,18
01.11.2021;4.567,00
01.10.2021;4.605,38
01.09.2021;4.307,54
01.08.2021;4.522,68
01.07.2021;4.395,26
01.06.2021;4.297,50
01.05.2021;4.204,11
01.04.2021;4.181,17
01.03.2021;3.972,89
01.02.2021;3.811,15
01.01.2021;3.714,24
01.12.2020;3.756,07
01.11.2020;3.621,63
01.10.2020;3.269,96
01.09.2020;3.363,00
01.08.2020;3.500,31
01.07.2020;3.271,12
01.06.2020;3.100,29
01.05.2020;3.044,31
01.04.2020;2.912,43
01.03.2020;2.584,59
01.02.2020;2.954,22
01.01.2020;3.225,52
01.12.2019;3.230,78
01.11.2019;3.140,98
01.10.2019;3.037,56
01.09.2019;2.976,74
01.08.2019;2.926,46
01.07.2019;2.980,38
01.06.2019;2.941,76
01.05.2019;2.752,06
01.04.2019;2.945,83
01.03.2019;2.834,40
01.02.2019;2.784,49
01.01.2019;2.704,10
